Date,Open,High,Low,Close,Adj Close,Volume,Date.1,Date
197,133.61000061035156,133.67999267578125,133.61000061035156,133.67999267578125,133.67999267578125,812,,2023-05-23 12:49:00-04:00
198,133.67999267578125,133.67999267578125,133.55999755859375,133.55999755859375,133.55999755859375,7203,,2023-05-23 12:50:00-04:00
199,133.59500122070312,133.6699981689453,133.59500122070312,133.6699981689453,133.6699981689453,2723,,2023-05-23 12:51:00-04:00
200,133.6999969482422,133.6999969482422,133.6999969482422,133.6999969482422,133.6999969482422,556,,2023-05-23 12:52:00-04:00
201,133.7100067138672,133.7100067138672,133.69000244140625,133.69000244140625,133.69000244140625,861,,2023-05-23 12:53:00-04:00
202,133.73989868164062,133.76060485839844,133.66000366210938,133.68499755859375,133.68499755859375,1337,,2023-05-23 12:54:00-04:00
203,133.69000244140625,133.69400024414062,133.67999267578125,133.69400024414062,133.69400024414062,736,,2023-05-23 12:55:00-04:00
204,133.6999053955078,133.74000549316406,133.6699981689453,133.67999267578125,133.67999267578125,1142,,2023-05-23 12:56:00-04:00
205,133.71539306640625,133.71539306640625,133.7100067138672,133.7100067138672,133.7100067138672,636,,2023-05-23 12:57:00-04:00
206,133.72999572753906,133.73500061035156,133.69000244140625,133.69000244140625,133.69000244140625,741,,2023-05-23 12:58:00-04:00
207,133.7050018310547,133.7050018310547,133.6999969482422,133.6999969482422,133.6999969482422,941,,2023-05-23 12:59:00-04:00
208,133.77999877929688,133.8603973388672,133.75999450683594,133.86000061035156,133.86000061035156,1859,,2023-05-23 13:00:00-04:00
209,133.85569763183594,133.85569763183594,133.7899932861328,133.7899932861328,133.7899932861328,1177,,2023-05-23 13:02:00-04:00
210,133.8800048828125,133.8800048828125,133.8699951171875,133.8699951171875,133.8699951171875,429,,2023-05-23 13:03:00-04:00
211,133.8699951171875,133.9199981689453,133.8699951171875,133.9199981689453,133.9199981689453,1098,,2023-05-23 13:04:00-04:00
212,133.9199981689453,133.9199981689453,133.8800048828125,133.8800048828125,133.8800048828125,555,,2023-05-23 13:05:00-04:00
213,133.85000610351562,133.9199981689453,133.85000610351562,133.9199981689453,133.9199981689453,1178,,2023-05-23 13:06:00-04:00
214,134.00999450683594,134.00999450683594,134.00999450683594,134.00999450683594,134.00999450683594,1070,,2023-05-23 13:07:00-04:00
215,134.0,134.0,133.9199981689453,133.9199981689453,133.9199981689453,742,,2023-05-23 13:08:00-04:00
216,133.97999572753906,134.00999450683594,133.97999572753906,134.00999450683594,134.00999450683594,700,,2023-05-23 13:09:00-04:00
217,133.94000244140625,133.9799041748047,133.9199981689453,133.9799041748047,133.9799041748047,2794,,2023-05-23 13:10:00-04:00
218,133.9600067138672,133.9600067138672,133.9600067138672,133.9600067138672,133.9600067138672,700,,2023-05-23 13:11:00-04:00
219,133.88999938964844,133.88999938964844,133.80999755859375,133.80999755859375,133.80999755859375,1453,,2023-05-23 13:12:00-04:00
220,133.7899932861328,133.86000061035156,133.7899932861328,133.86000061035156,133.86000061035156,860,,2023-05-23 13:13:00-04:00
221,133.80999755859375,133.80999755859375,133.75,133.75,133.75,587,,2023-05-23 13:14:00-04:00
222,133.77499389648438,133.77499389648438,133.77499389648438,133.77499389648438,133.77499389648438,150,,2023-05-23 13:15:00-04:00
223,133.77000427246094,133.77000427246094,133.76499938964844,133.76499938964844,133.76499938964844,955,,2023-05-23 13:16:00-04:00
224,133.77499389648438,133.8000030517578,133.75999450683594,133.77999877929688,133.77999877929688,1718,,2023-05-23 13:17:00-04:00
